time ms,free,max,total
138,4265152,66650112,5177344
1140,4056896,66650112,5177344
2140,4275768,66650112,5177344
3140,3520968,66650112,5177344
4140,3960512,66650112,5177344
5140,3423808,66650112,5177344
6520,868800,66650112,7790592
7531,1208920,66650112,7790592
8548,946176,66650112,7790592
9551,688320,66650112,7790592
10551,423504,66650112,7790592
11551,1004920,66650112,7790592
12552,2536432,66650112,12988416
13574,3172936,66650112,18952192
14576,2348152,66650112,18952192
15593,1521688,66650112,18952192
16593,2390032,66650112,18952192
17612,1914136,66650112,18952192
18612,1342368,66650112,18952192
19612,1786048,66650112,18952192
20612,2435016,66650112,18952192
21617,2224048,66650112,18952192
22617,1511456,66650112,18952192
23617,1630192,66650112,18952192
24617,2295368,66650112,18952192
25617,1487488,66650112,18952192
26621,2219232,66650112,18952192
27621,2021552,66650112,18952192
28626,1078904,66650112,18952192
29626,1818816,66650112,18952192
30626,2027608,66650112,18952192
31635,1254824,66650112,18952192
32635,2051264,66650112,18952192
33649,1185440,66650112,18952192
34661,1288816,66650112,18952192
35661,1368008,66650112,18952192
36677,1049376,66650112,18952192
37677,1577120,66650112,18952192
38691,1031360,66650112,18952192
39691,1045472,66650112,18952192
40705,1057888,66650112,18952192
41706,1539608,66650112,18952192
42710,1289968,66650112,18952192
43713,1632280,66650112,18952192
44713,845688,66650112,18952192
45713,1353536,66650112,18952192
46728,1058064,66650112,18952192
47737,1170640,66650112,18952192
48738,394856,66650112,18952192
49738,1553152,66650112,18952192
50742,1062016,66650112,18952192
51743,1448904,66650112,18952192
52743,1079264,66650112,18952192
53743,386088,66650112,18952192
54744,1302648,66650112,18952192
55744,454928,66650112,18952192
56744,1156064,66650112,18952192
57766,430840,66650112,18952192
58778,410432,66650112,18952192
59778,808056,66650112,18952192
60792,244160,66650112,18952192
61807,967624,66650112,18952192
62807,339896,66650112,18952192
63808,876888,66650112,18952192
64816,12000968,66650112,27852800
65816,10672784,66650112,27852800
66824,11899208,66650112,27852800
67836,10398856,66650112,27852800
68836,11727304,66650112,27852800
69857,10737608,66650112,27852800
70873,10984064,66650112,27852800
71873,10290520,66650112,27852800
72881,11735936,66650112,27852800
73899,11088064,66650112,27852800
74900,10725752,66650112,27852800
75900,11435272,66650112,27852800
76900,10156472,66650112,27852800
77903,10122856,66650112,27852800
78907,10199112,66650112,27852800
79907,11685928,66650112,27852800
80907,9955616,66650112,27852800
81928,10269672,66650112,27852800
82932,10065328,66650112,27852800
83932,11714520,66650112,27852800
84932,11430072,66650112,27852800
85934,11165904,66650112,27852800
86951,10479728,66650112,27852800
87951,10620856,66650112,27852800
88951,11322408,66650112,27852800
89951,10815632,66650112,27852800
90962,11045416,66650112,27852800
91962,9874008,66650112,27852800
92975,11545720,66650112,27852800
93975,11144984,66650112,27852800
94975,11432256,66650112,27852800
95990,10939168,66650112,27852800
97006,10673624,66650112,27852800
98007,11070768,66650112,27852800
99037,11428968,66650112,27852800
100040,11093168,66650112,27852800
101041,10661568,66650112,27852800
102053,9647464,66650112,27852800
103053,10611576,66650112,27852800
104078,11241616,66650112,27852800
105082,10938544,66650112,27852800
106101,11205984,66650112,27852800
107101,10442328,66650112,27852800
108115,10050080,66650112,27852800
109121,11098560,66650112,27852800
110127,10503872,66650112,27852800
111127,9661872,66650112,27852800
112127,10825760,66650112,27852800
113127,10561320,66650112,27852800
114140,9876224,66650112,27852800
115140,10305152,66650112,27852800
116141,10375352,66650112,27852800
117141,9828704,66650112,27852800
118141,9797424,66650112,27852800
119141,9970864,66650112,27852800
120141,10033912,66650112,27852800
121150,10965112,66650112,27852800
122160,9772912,66650112,27852800
123160,10237656,66650112,27852800
124160,9193336,66650112,27852800
125160,10095032,66650112,27852800
126160,9082488,66650112,27852800
127165,9059240,66650112,27852800
128165,10709192,66650112,27852800
129165,9234576,66650112,27852800
130165,9919264,66650112,27852800
131165,9954184,66650112,27852800
132165,10358904,66650112,27852800
133165,9952072,66650112,27852800
134165,9639328,66650112,27852800
135165,9984112,66650112,27852800
136165,10232744,66650112,27852800
137173,10451120,66650112,27852800
138173,10560792,66650112,27852800
139173,9872152,66650112,27852800
140188,9478528,66650112,27852800
141188,10215848,66650112,27852800
142188,9873968,66650112,27852800
143188,9395680,66650112,27852800
144188,10440832,66650112,27852800
145194,10459056,66650112,27852800
146194,10095048,66650112,27852800
147194,10019608,66650112,27852800
148194,10048824,66650112,27852800
149194,8879000,66650112,27852800
150194,8966144,66650112,27852800
151194,9262336,66650112,27852800
152194,8513272,66650112,27852800
153194,8899184,66650112,27852800
154194,9335152,66650112,27852800
155194,9213032,66650112,27852800
156217,9550384,66650112,27852800
157217,9522584,66650112,27852800
158220,9978584,66650112,27852800
159220,9854040,66650112,27852800
160222,10000128,66650112,27852800
161224,8811152,66650112,27852800
162224,8580408,66650112,27852800
163224,8463752,66650112,27852800
164225,9051720,66650112,27852800
165225,9449280,66650112,27852800
166225,8865352,66650112,27852800
167225,9166120,66650112,27852800
168225,9199752,66650112,27852800
169226,8999656,66650112,27852800
170226,7960656,66650112,27852800
171237,9694472,66650112,27852800
172256,9557984,66650112,27852800
173256,8498480,66650112,27852800
174256,8252160,66650112,27852800
175256,8425792,66650112,27852800
176280,8707136,66650112,27852800
177286,9582744,66650112,27852800
178286,9438512,66650112,27852800
179286,8126808,66650112,27852800
180286,8347864,66650112,27852800
181286,8632400,66650112,27852800
182286,7873416,66650112,27852800
183286,8521696,66650112,27852800
184286,7732744,66650112,27852800
185286,8236520,66650112,27852800
186286,7792048,66650112,27852800
187286,8452128,66650112,27852800
188286,8870384,66650112,27852800
189288,8139168,66650112,27852800
190291,9205784,66650112,27852800
191295,8953592,66650112,27852800
192295,8978960,66650112,27852800
193297,8371072,66650112,27852800
194297,7770360,66650112,27852800
195297,8675216,66650112,27852800
196315,8083752,66650112,27852800
197328,7464368,66650112,27852800
198349,8335400,66650112,27852800
199366,9083224,66650112,27852800
200383,8014600,66650112,27852800
201389,7756064,66650112,27852800
202389,8793624,66650112,27852800
203390,7495864,66650112,27852800
204390,8648464,66650112,27852800
205390,7723368,66650112,27852800
206390,7502440,66650112,27852800
207390,7293488,66650112,27852800
208390,9086168,66650112,27852800
209390,7719432,66650112,27852800
210390,7325184,66650112,27852800
211391,8093792,66650112,27852800
212391,7430680,66650112,27852800
213391,7384920,66650112,27852800
214391,8124560,66650112,27852800
215391,7221824,66650112,27852800
216391,8299152,66650112,27852800
217391,7481712,66650112,27852800
218409,8583168,66650112,27852800
219417,7143264,66650112,27852800
220417,8320864,66650112,27852800
221423,8141744,66650112,27852800
222424,8531648,66650112,27852800
223424,7641680,66650112,27852800
224425,7341536,66650112,27852800
225425,7612648,66650112,27852800
226435,8000072,66650112,27852800
227461,7394296,66650112,27852800
228477,8488376,66650112,27852800
229477,7774264,66650112,27852800
230499,7340000,66650112,27852800
231499,6894496,66650112,27852800
232499,7465720,66650112,27852800
233515,6635368,66650112,27852800
234515,7369160,66650112,27852800
235515,6814456,66650112,27852800
236520,8323848,66650112,27852800
237524,7055144,66650112,27852800
238524,7682320,66650112,27852800
239524,6664784,66650112,27852800
240524,7377664,66650112,27852800
241542,6945168,66650112,27852800
242551,7323920,66650112,27852800
243553,7959240,66650112,27852800
244553,6903928,66650112,27852800
245553,7114384,66650112,27852800
246554,8049704,66650112,27852800
247554,6926688,66650112,27852800
248554,6434592,66650112,27852800
249554,6859664,66650112,27852800
250555,7300840,66650112,27852800
251555,7221960,66650112,27852800
252555,7254152,66650112,27852800
253555,7336384,66650112,27852800
254555,7008792,66650112,27852800
255564,7704512,66650112,27852800
256564,7501360,66650112,27852800
257564,6383896,66650112,27852800
258564,6277384,66650112,27852800
259564,6226984,66650112,27852800
260564,6679544,66650112,27852800
261564,6484512,66650112,27852800
262564,7118024,66650112,27852800
263564,6138592,66650112,27852800
264565,7856088,66650112,27852800
265582,7703152,66650112,27852800
266582,6775064,66650112,27852800
267583,7406664,66650112,27852800
268583,7598552,66650112,27852800
269583,6468232,66650112,27852800
270583,6177288,66650112,27852800
271583,7446600,66650112,27852800
272583,6776656,66650112,27852800
273583,7004384,66650112,27852800
274583,6678368,66650112,27852800
275583,6382664,66650112,27852800
276583,6192608,66650112,27852800
277583,5745312,66650112,27852800
278605,7103224,66650112,27852800
279606,5805448,66650112,27852800
280613,7019208,66650112,27852800
281616,7028352,66650112,27852800
282617,6242816,66650112,27852800
283617,5674824,66650112,27852800
284617,5811192,66650112,27852800
285617,7163032,66650112,27852800
286619,6988248,66650112,27852800
287619,6549688,66650112,27852800
288626,6925192,66650112,27852800
289626,6964600,66650112,27852800
